ep_patent,filing_year,technical_field,title,applicants,inventors,priority_claims,ipc_classes,cpc_classes,application_number,filing_date,normalized_applicants,priority_patent_info
EP09735811A,2009,Other,FILM RESISTOR WITH A CONSTANT TEMPERATURE COEFFICIENT AND PRODUCTION OF A FILM RESISTOR OF THIS TYPE,"['HOCHSCHULE FUER TECHNIK UND WIRTSCHAFT DES SAARLANDES\u2002[DE]', 'HOCHSCHULE FUER TECHNIK UND WIRTSCHAFT DES SAARLANDES,', 'SIEGERT TFT GMBH,', 'Hochschule für Technik und Wirtschaft des Saarlandes,', 'Siegert TFT GmbH']","['SCHULTES, GUENTHER', 'GOETTEL, DIRK', 'KOPPERT, RALF', 'FREITAG-WEBER, OLILVIA', 'WERNER, ULF', 'BRODE, WOLFGANG', 'SCHULTES, Günther', 'GÖTTEL, Dirk', 'KOPPERT, Ralf', 'FREITAG-WEBER, Olilvia', 'WERNER, Ulf', 'BRODE, Wolfgang']","['102008022607·2008-04-24', '102009011353·2009-03-05', 'EP2009002530·2009-04-06']","['G01L1/', 'G01L1/', 'H01C7/', 'H01C7/', 'H01C17/', 'H01C17/']","['G01L1/18 (US)', 'G01L1/18 (EP)', 'G01L1/2281 (US)', 'G01L1/2281 (EP)', 'G01L1/2287 (US)', 'G01L1/2287 (EP)', 'H01C7/02 (US)', 'H01C7/02 (EP)', 'H01C7/04 (US)', 'H01C7/04 (EP)', 'H01C17/08 (US)', 'H01C17/08 (EP)', 'H01C17/12 (US)', 'H01C17/12 (EP)', 'Y10T29/49099 (US)', 'Y10T29/49099 (EP)']",EP20090735811,20090406,"['HTW SAARLAND', 'SIEGERT TFT']","{'priority_number': '102008022607', 'priority_date': '2008-04-24', 'ep_applicants': ['HTW SAARLAND', 'HTW SAARLAND', 'SIEGERT TFT', 'HTW SAARLAND', 'SIEGERT TFT']}"
EP18826058A,2018,Other,"STRAIN GAUGE COMPRISING A FLEXIBLE SUBSTRATE AND A RESISTANCE LAYER, AND SENSOR ELEMENT COMPRISING A STRAIN GAUGE","['HOCHSCHULE FUER TECHNIK UND WIRTSCH DES SAARLANDES\u2002[DE]', 'Hochschule für Technik und Wirtschaft des Saarlandes']","['LANGOSCH, Matthäus', 'VOLLBERG, Dennis', 'Langosch, Matthäus', 'Vollberg, Dennis']","['DE102017223831A·2017-12-28', 'EP2018086559W·2018-12-21']","['G01B5/', 'G01B7/', 'G01L1/']",['G01L1/2268 (EP)'],EP20180826058,20181221,['HTW SAARLAND'],"{'priority_number': 'DE102017223831A', 'priority_date': '2017-12-28', 'ep_applicants': ['HTW SAARLAND', 'HTW SAARLAND']}"
