ep_patent,filing_year,technical_field,title,normalized_applicants,normalized_inventors,priority_claims,german_priorities,ipc_classes,cpc_classes,application_number,filing_date
EP05737888A,2005,Other,DEVICE AND METHOD FOR ASSESSING THE QUALITY CLASS OF AN OBJECT TO BE TESTED,"['FRAUNHOFER GES FORSCHUNG', 'FRAUNHOFER-GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V']","['Hentschel, Dieter', 'Tschoepe, Constanze', 'Hoffmann, Ruediger', 'Eichner, Matthias', 'Wolff, Matthias']","['DE102004023824A·2004-05-13', 'EP2005003573W·2005-04-05']",['DE102004023824A·2004-05-13'],"['G01M7/', 'G01N29/', 'G01N29/', 'G01N29/', 'G01N29/', 'G05B17/', 'G07C3/']","['G01N29/045', 'G01N29/045', 'G01N29/14', 'G01N29/14', 'G01N29/30', 'G01N29/30', 'G01N29/4445', 'G01N29/4445', 'G01N29/4472', 'G01N29/4472', 'G01N29/449', 'G01N29/449']",EP20050737888,20050405
EP05756574A,2005,Other,SPHINGOLIPIDS AGAINST PATHOLOGICAL PROCESSES IN LIPID RAFTS,"['JADOLABS GMBH', 'JADO TECHNOLOGIES GMBH', 'MAX-PLANCK-GESELLSCHAFT ZUR FOERDERUNG DER WISSENSCHAFTEN E.V', 'TU DRESDEN']","['Braxmeier, Tobias', 'Friedrichson, Tim', 'Froehner, Wolfgang', 'Jennings, Gary', 'Schlechtingen, Georg', 'Schroeder, Cornelia', 'Knoelker, Hans-Joachim', 'Simons, Kai', 'Zerial, Marino', 'Kurzchalia, Teymuras']","['04015248·2004-06-29', '636471 P·2004-12-16', 'EP2005007033W·2005-06-29']",[],"['A61K31/', 'A61P11/', 'A61P31/', 'A61P31/', 'A61P37/']","['A61K31/133', 'A61K31/133', 'A61P3/10', 'A61P9/10', 'A61P11/06', 'A61P25/00', 'A61P25/20', 'A61P25/28', 'A61P31/00', 'A61P31/04', 'A61P31/12', 'A61P31/14', 'A61P31/16', 'A61P31/18', 'A61P31/22', 'A61P33/00', 'A61P33/02', 'A61P35/00', 'A61P37/00', 'A61P37/06', 'A61P37/08', 'A61P43/00', 'Y02A50/30', 'Y02A50/30']",EP20050756574,20050629
EP05776652A,2005,Other,METHOD FOR DRYING BIOMASS,"['UNIV DRESDEN TECH', 'TU DRESDEN']","['Brummack, Joachim', 'Polster, Andreas']","['DE102004042285A·2004-08-27', 'EP2005009241W·2005-08-26']",['DE102004042285A·2004-08-27'],"['A01F25/', 'F26B9/']","['A01F25/08', 'F26B9/006', 'F26B9/103']",EP20050776652,20050826
EP06024303A,2006,Other,method and device for coating components,"['UNIV DRESDEN TECH', 'HOMAG HOLZBEARBEITUNGSSYSTEME AG']","['Wust, Hendrik, Dipl.-Ing', 'Schwarz, Ulrich, Dr.-Ing']",['DE102005056828A·2005-11-23'],['DE102005056828A·2005-11-23'],"['B27D1/', 'B27D5/', 'B27G11/', 'B29C63/', 'B32B21/']","['B23K26/0006', 'B23K26/354', 'B27D1/00', 'B27D5/003', 'B27G11/00', 'B29C63/003', 'B29C65/1632', 'B29C65/1658', 'B29C65/4815', 'B29C65/5007', 'B29C66/83411', 'B29C66/83421', 'B29C66/91216', 'B29C66/91221', 'B29C66/9131', 'B29C66/9161', 'B29C66/934', 'C09J5/06', 'C09J5/10', 'B23K2101/35', 'B23K2103/18', 'B23K2103/36', 'B23K2103/42', 'B29C2035/0838', 'B29C2063/485', 'B29C65/1616', 'B29C65/1619', 'B29C65/5057', 'B29C65/5092', 'B29C65/52', 'B29C65/526', 'B29C66/21', 'B29C66/45', 'B29C66/71', 'B29C66/81465', 'B29C66/961', 'B29K2711/14', 'B29L2009/00', 'B29L2024/003', 'C09J2400/303']",EP20060024303,20061123
EP05815530A,2005,Other,COMBINED PISTON-EXPANDER COMPRESSOR,"['UNIV DRESDEN TECH', 'TU DRESDEN']","['Nickl, Joerg']","['DE102004056298A·2004-11-18', 'DE2005001981·2005-10-29']","['DE102004056298A·2004-11-18', 'DE2005001981·2005-10-29']","['F04B31/', 'F25B9/', 'F25B9/']","['F04B9/133', 'F04B9/133', 'F04B31/00', 'F04B31/00', 'F04B35/00', 'F04B35/00', 'F25B9/06', 'F25B9/06', 'F25B9/008', 'F25B9/008', 'F25B2309/06', 'F25B2309/06']",EP20050815530,20051029
EP05769676A,2005,Other,GRAFT STRUCTURE COMPRISING TERMINALLY DIFFERENTIATED TISSUE CELLS FOR THE RECONSTRUCTION OF AN ORGAN,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'UROTISS GMBH']","['Ram-Liebig, Gouya', 'Hakenberg, Oliver', 'Wirth, Manfred']","['DE102004037184A·2004-07-30', 'DE2005001266·2005-07-18']","['DE102004037184A·2004-07-30', 'DE2005001266·2005-07-18']","['A61K35/', 'A61L27/', 'A61L27/', 'C12N5/', 'C12N5/']","['A61K35/38', 'A61K35/38', 'A61L27/3604', 'A61L27/3604', 'A61L27/3641', 'A61L27/3641', 'A61L27/3804', 'A61L27/3804', 'A61L27/3839', 'A61L27/3839', 'A61L27/3895', 'A61L2430/22', 'A61L2430/22']",EP20050769676,20050718
EP06791948A,2006,Other,POLYMER ELECTROLYTE MEMBRANE COMPRISING COORDINATION POLYMER,"['GEESTHACHT GKSS FORSCHUNG', 'GKSS-FORSCHUNGSZENTRUM GEESTHACHT GMBH', 'TU DRESDEN']","['Gomes, Dominique De Figueiredo', 'Nunes, Suzana', 'Peinemann, Klaus-Viktor', 'Kaskel, Stefan', 'Abetz, Volker']","['DE102005056564A·2005-11-25', 'EP2006008799W·2006-09-09']",['DE102005056564A·2005-11-25'],['C08J5/'],"['C08J5/2275', 'C08J5/2275', 'H01M8/02', 'H01M8/04', 'H01M8/10', 'C08J2381/02', 'C08J2381/02', 'Y02E60/50']",EP20060791948,20060909
EP07721969A,2007,Other,PREVASCULARIZED TISSUE TRANSPLANT CONSTRUCTS FOR THE RECONSTRUCTION OF A HUMAN OR ANIMAL ORGAN,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'UROTEC GMBH']","['Ram-Liebig, Gouya', 'Wirth, Manfred']","['DE102006009539A·2006-02-28', 'DE2007000368·2007-02-28']","['DE102006009539A·2006-02-28', 'DE2007000368·2007-02-28']","['A61F2/', 'A61L27/', 'C12N5/', 'C12N5/']","['A61L27/3808', 'A61L27/3808', 'A61L27/3882', 'A61L27/3882', 'A61L27/3895', 'A61L27/3895', 'C12N5/069', 'C12N5/069', 'C12N5/0692', 'C12N5/0692', 'C12N5/0697', 'C12N5/0697', 'A61L2430/22', 'A61L2430/22']",EP20070721969,20070228
EP07722392A,2007,Other,DEVICE FOR DETERMINING THE STIFFNESS OF FLEXIBLE MATERIALS,"['UNIV DRESDEN TECH', 'TU DRESDEN']","['Roedel, Hartmut', 'Schenk, Andrea', 'Seif, Manal', 'Leske, Joachim', 'Mildner, Lars']","['DE102006021726A·2006-05-03', 'DE2007000840·2007-05-03']","['DE102006021726A·2006-05-03', 'DE2007000840·2007-05-03']","['G01N3/', 'G01N3/', 'G01N33/', 'G01N33/']","['G01N3/20', 'G01N3/40', 'G01N2203/0023', 'G01N2203/0282']",EP20070722392,20070503
EP07729175A,2007,Other,"SENSOR FOR DETERMINING THE ELECTRICAL CONDUCTIVITY OF LIQUID MEDIA, AND METHOD FOR THE PRODUCTION THEREOF","['FRAUNHOFER GES FORSCHUNG', 'FRAUNHOFER-GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V', 'TU DRESDEN']","['Partsch, Uwe', 'Neubert, Holger']","['DE102006025098A·2006-05-19', 'EP2007054727W·2007-05-15']",['DE102006025098A·2006-05-19'],"['G01N27/', 'G01R27/', 'H01F17/']","['G01N27/023', 'G01N27/023', 'H01F17/0013', 'H01F17/0013', 'H01F17/0033', 'H01F17/0033', 'Y10T29/4902', 'Y10T29/4902']",EP20070729175,20070515
EP07786839A,2007,Other,USE OF PT- AND PD-BIS- AND TETRA-CARBON COMPLEXES WITH BRIDGED CARBON LIGANDS IN OLEDS,"['BASF SE', 'BASF SE', 'TU DRESDEN']","['Strassner, Thomas', 'Unger, Yvonne', 'Zeller, Alexander']","['06116100·2006-06-26', 'EP2007056331W·2007-06-25']",[],"['C07F15/', 'C09K11/', 'H05B33/']","['C07F19/00', 'C09K11/06', 'C09K11/06', 'C09K11/06', 'H05B33/14', 'H05B33/14', 'H10K85/341', 'H10K85/341', 'H10K85/346', 'H10K85/346', 'C09K2211/1044', 'C09K2211/1044', 'C09K2211/185', 'C09K2211/185', 'H10K50/11', 'H10K50/11', 'H10K50/18', 'H10K50/18', 'H10K50/18', 'H10K2101/10', 'H10K2101/10']",EP20070786839,20070625
EP07802769A,2007,Other,"HYBRID MATERIALS FROM A SILICATE-TREATED COLLAGEN MATRIX, METHODS FOR THE PRODUCTION THEREOF AND THE USE THEREOF","['UNIV DRESDEN TECH', 'TU DRESDEN', 'TU DRESDEN']","['Ehrlich, Hermann', 'Heinemann, Sascha', 'Hanke, Thomas', 'Worch, Hartmut']","['DE102006040917A·2006-08-22', 'EP2007058694W·2007-08-21']",['DE102006040917A·2006-08-22'],"['C07K14/', 'C08H1/', 'C08L89/']","['C07K14/78', 'C08H1/06', 'C08L89/06', 'Y02P20/54']",EP20070802769,20070821
EP09155974A,2006,Other,Method and kit for amplifying heteropolymeric or poly(C) RNA,"['UNIV DRESDEN TECH', 'RIBOXX GMBH', 'TU DRESDEN']","['Rohayem, Jacques', 'Jaeger, Katrin', 'Jacobs, Enno', 'Rudolph, Wolfram']","['DE102005036085A·2005-07-25', 'DE102006008219A·2006-02-13', '06761834·2006-07-25']","['DE102005036085A·2005-07-25', 'DE102006008219A·2006-02-13']","['C12N9/', 'C12Q1/']","['C12N9/127', 'C12N9/127', 'C12Q1/686', 'C12Q1/686']",EP20090155974,20060725
EP07785710A,2007,Other,PLASMA ETCHING METHOD FOR PRODUCING POSITIVE ETCHING PROFILES IN SILICON SUBSTRATES,"['UNIV DRESDEN TECH', 'TU DRESDEN']","['Richter, Karola', 'Zschaetzsch, Gerd']","['DE102006043389A·2006-09-06', 'DE2007001483·2007-08-15']","['DE102006043389A·2006-09-06', 'DE2007001483·2007-08-15']","['B81C1/', 'H01L21/']","['B81C1/00626', 'B81C99/009', 'H01L21/30655', 'B81C2201/0132']",EP20070785710,20070815
