ep_patent,filing_year,technical_field,title,normalized_applicants,normalized_inventors,priority_claims,german_priorities,ipc_classes,cpc_classes,application_number,filing_date
EP97928109A,1997,Other,PROCESS AND DEVICE FOR PRODUCTION OF METALLIC COATINGS ON SEMICONDUCTOR STRUCTURES,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'FRAUNHOFER-GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V', 'FRAUNHOFER-GESELLSCHAFT ZUR FOERDERUNG DER']","['Klimes, Wolfgang', 'Wenzel, Christian', 'Urbansky, Norbert', 'Siemroth, Peter', 'Schuelke, Thomas', 'Schultrich, Bernd']","['19621855·1996-05-31', 'DE9701081·1997-05-30']",['DE9701081·1997-05-30'],"['C23C14/', 'C23C14/', 'H01L21/', 'H01L21/', 'H01L21/']","['C23C14/046', 'C23C14/046', 'C23C14/325', 'C23C14/325', 'H01L21/76843', 'H01L21/76843', 'H01L21/76877', 'H01L21/76877']",EP19970928109,19970530
EP97941858A,1997,Other,MULTILAYERED SHEET INSULATING MATERIAL FOR HEAT INSULATION AND SOUND PROOFING,"['UNIV DRESDEN TECH', 'TU DRESDEN']","['Offermann, Peter', 'Berschev, Evgueni', 'Hoffmann, Gerald', 'Lobova, Ludmila', 'Freudenberg, Christiane']","['19635214·1996-08-30', 'DE9701901·1997-08-29']",['DE9701901·1997-08-29'],"['E04B1/', 'E04B1/', 'E04B1/', 'E04C2/', 'F16L59/', 'F16L59/']","['E04B1/8409', 'E04B1/8409', 'E04B1/88', 'E04B1/88', 'F16L59/065', 'F16L59/065', 'E04B2001/8466', 'E04B2001/8466', 'E04B2001/8471', 'E04B2001/8471', 'Y10T428/231', 'Y10T428/231', 'Y10T428/24174', 'Y10T428/24174', 'Y10T428/24182', 'Y10T428/24182', 'Y10T428/24322', 'Y10T428/24322']",EP19970941858,19970829
EP97952739A,1997,Other,METHOD FOR STOCKING AND PRESERVING GREEN ROUND WOOD AND SAWN TIMBER,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'FORSTLICHE VERSUCHS- UND FORSCHUNGSANSTALT BADEN-WUERTTEMBERG']","['Mahler, Gerold', 'Richter, Christoph', 'Gross, Martin', 'Weber, Andreas', 'Maier, Thomas', 'Koenig, Juergen']","['19652951·1996-12-19', 'DE9702966·1997-12-19']",['DE9702966·1997-12-19'],"['B27K3/', 'B27K5/']","['B27K5/0095', 'B27K5/0095']",EP19970952739,19971219
EP97952725A,1997,"Smart industry - applications: Business services,Smart industry - core: IT hardware,Smart industry - applications: Consumer goods",METHOD AND DEVICE FOR THE THREE-DIMENSIONAL REPRESENTATION OF INFORMATION,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'DRESDEN 3D GMBH']","['Schwerdtner, Armin', 'Heidrich, Holger']","['19652689·1996-12-18', '19736035·1997-08-20', 'DE9702910·1997-12-15']",['DE9702910·1997-12-15'],"['G02B30/', 'G02B30/', 'G09G3/', 'G09G5/', 'H04N13/', 'H04N13/']","['G02B30/27', 'G02B30/27', 'G02B30/30', 'G09G3/003', 'G09G3/003', 'H04N13/305', 'H04N13/305', 'H04N13/31', 'H04N13/31', 'H04N13/324', 'H04N13/324', 'H04N13/376', 'H04N13/376', 'H04N13/10', 'H04N13/10', 'H04N13/286', 'H04N13/286']",EP19970952725,19971215
EP98964360A,1998,Other,METHOD AND DEVICE FOR THERMALLY SUPPORTING MECHANICAL JOINTS,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'KERB-KONUS-VERTRIEBS-GMBH', 'ABB DAIMLER-BENZ TRANSPORTATION (TECHNOLOGY) GMBH']","['Liebrecht, Fritz', 'Mauermann, Reinhard', 'Donhauser, Georg', 'Carstensen, Hartmut']","['19750831·1997-11-17', '19852809·1998-11-17', 'DE9803393·1998-11-17']",['DE9803393·1998-11-17'],"['B21J15/', 'B21J15/', 'B21J15/', 'B23K11/']","['B21J15/025', 'B21J15/025', 'B21J15/08', 'B21J15/08', 'B23K11/115', 'B23K11/115']",EP19980964360,19981117
EP00100357A,2000,Other,"Method, pick-up and circuit for non-contact measurement of the movement of a thread","['UNIV DRESDEN TECH', 'TU DRESDEN', 'SENTEX CHEMNITZ GMBH']","['Schaefer, Wolfgang, Dr.-Ing']",['19900581·1999-01-09'],[],"['G01P3/', 'B65H61/', 'G01B7/']","['B65H61/005', 'G01B7/042', 'G01P3/66', 'B65H2701/31']",EP20000100357,20000107
EP99955786A,1999,Other,METHOD AND DEVICE FOR CONNECTING OVERLAPPING FLAT PARTS,"['UNIV DRESDEN TECH', 'TU DRESDEN']","['Voelkner, Wolfgang', 'Effenberg, Gerald', 'Mauermann, Reinhard']","['19843874·1998-09-25', '19945743·1999-09-24', 'DE9903064·1999-09-24']",['DE9903064·1999-09-24'],"['B21D37/', 'B21D39/', 'B21J15/', 'B21J15/', 'F16B5/']","['B21D39/031', 'B21D39/031', 'B21J15/02', 'B21J15/02', 'B21J15/12', 'B21J15/12', 'F16B5/045', 'F16B5/045', 'Y10T29/49908', 'Y10T29/49908', 'Y10T29/49924', 'Y10T29/49924', 'Y10T29/49938', 'Y10T29/49938', 'Y10T29/53065', 'Y10T29/53065', 'Y10T29/53996', 'Y10T29/53996']",EP19990955786,19990924
EP99959212A,1999,Other,TOOL FOR APPLYING PUNCHED RIVETS,"['EIBES KERB KONUS GMBH', 'KERB-KONUS-VERTRIEBS-GMBH', 'WAGGONFABRIK TALBOT GMBH & CO.KG', 'TU DRESDEN', 'TALBOT GMBH & CO. KG']","['Donhauser, Georg', 'Mauermann, Reinhard', 'Quaisser, Gunter', 'Voelkner, Wolfgang', 'Zimmermann, Michael']","['19847980·1998-10-17', 'DE9903302·1999-10-14']",['DE9903302·1999-10-14'],['B21J15/'],"['B21J15/025', 'B21J15/025', 'B21J15/36', 'B21J15/36', 'Y10T29/49837', 'Y10T29/49837', 'Y10T29/53726', 'Y10T29/53726', 'Y10T29/5377', 'Y10T29/5377']",EP19990959212,19991014
EP99968302A,1999,Other,"ORGANIC FERTILIZER HAVING HUMIC PROPERTIES, ITS METHOD OF PRODUCTION AND ITS USE","['UNIV DRESDEN TECH', 'TU DRESDEN', 'NOVIHUM GMBH']","['Fischer, Klaus', 'Schiene, Rainer', 'Katzur, Joachim']","['19859068·1998-12-22', 'DE9904029·1999-12-17']",['DE9904029·1999-12-17'],['C05F11/'],"['C05F11/02', 'C05F11/02']",EP19990968302,19991217
EP01120368A,2001,Other,Method for the enzymatic activation of lignocellulosic fibre materials for the manufacturing of products,"['SAECHSISCHES INST FUER ANGEWAN', 'SAECHSISCHES INSTITUT FUER ANGEWANDTE BIOTECHNOLOGIE E.V. (SIAB)', 'TU DRESDEN']","['Unbehaun, Holger, Dipl.-Ing', 'Kerns, Gerhard, Dr', 'Koenig, Swetlana Dr', 'Kuehne, Gerhard, Prof. Dr', 'Wagenfuehr, Andre, Prof. Dr', 'Bley, Thomas, Prof. Dr']",['10043662·2000-08-30'],[],"['B27N3/', 'C07G1/', 'C08H8/', 'C08L97/', 'C12N1/', 'C12S3/']","['B27N3/002', 'C07G1/00', 'C08H8/00', 'C08L97/02', 'C12N1/22']",EP20010120368,20010825
