ipc_subclass,total_patents,granted_patents,grant_rate
D01G,91973,67308,73.18
G07G,90862,47832,52.64
B03B,90660,61195,67.5
G04C,89489,48303,53.98
G07B,88612,46043,51.96
A43D,88473,65863,74.44
C23G,87032,51253,58.89
A45F,86641,58348,67.34
B61F,85901,62547,72.81
F01C,85899,52890,61.57
C40B,84604,38501,45.51
A23D,84115,46553,55.34
F23L,83273,52048,62.5
B64G,82567,52274,63.31
F23R,82096,54569,66.47
B61B,81733,51633,63.17
B27N,80700,47499,58.86
A47D,80363,57850,71.99
B67B,79600,57616,72.38
A62D,79204,45226,57.1
B27K,78995,40522,51.3
B64F,78118,51902,66.44
G10D,77125,53393,69.23
B25D,76797,52388,68.22
B04C,76097,52487,68.97
B21K,75442,51444,68.19
G21K,74267,43986,59.23
F03G,73945,34317,46.41
F25C,73192,44656,61.01
F41G,71617,49677,69.36
B81B,70306,38768,55.14
B25C,70287,47660,67.81
F25J,70112,44171,63.0
A47H,69948,48333,69.1
B06B,68646,43108,62.8
C06B,68562,47254,68.92
H03D,67967,45856,67.47
B09C,67898,39726,58.51
G06G,67558,49496,73.26
F41H,66586,42416,63.7
B03D,66125,42340,64.03
F24B,66105,48687,73.65
B27C,66090,49582,75.02
B25F,64926,40481,62.35
B60D,64711,44880,69.35
A61D,64336,46402,72.12
B41K,64284,43271,67.31
A21B,64159,46296,72.16
F23K,63757,40034,62.79
H04S,63582,36868,57.98
B23F,63542,46249,72.78
G03H,63090,35004,55.48
G03D,62393,36500,58.5
A24C,61885,41321,66.77
D06L,61470,34867,56.72
F21L,61356,44022,71.75
D07B,61306,40808,66.56
H01K,59948,35353,58.97
C01D,59852,36404,60.82
D06H,59075,44454,75.25
A41C,57499,40436,70.32
F01B,57386,36229,63.13
G01Q,56842,33692,59.27
B41N,56257,31945,56.78
A01J,55834,38837,69.56
B23G,55789,42243,75.72
A63G,55701,37942,68.12
B27G,55522,40336,72.65
G06M,54670,35695,65.29
B27D,53931,33745,62.57
F42C,53677,38774,72.24
F04F,52878,35056,66.3
B27M,52454,31898,60.81
B62H,51502,34793,67.56
B02B,51090,32673,63.95
A43C,49788,33414,67.11
H05G,49127,31735,64.6
F28G,49104,34558,70.38
A41H,48407,32692,67.54
F41B,48326,34416,71.22
C12C,48299,28167,58.32
B25G,48299,32526,67.34
B44B,48252,36912,76.5
C11C,47648,29081,61.03
G16Y,47630,18905,39.69
B31F,46982,31810,67.71
B81C,46959,26495,56.42
F02G,46615,26537,56.93
F42D,46535,31100,66.83
C10K,46369,30192,65.11
B64U,46100,27539,59.74
C01C,44853,28739,64.07
B44D,44791,31920,71.26
G01W,44741,27305,61.03
D05C,44732,30754,68.75
B61C,44480,30845,69.35
G12B,44094,25638,58.14
B82B,43764,26117,59.68
G09C,42990,24319,56.57
D02J,42920,26338,61.37
F22D,42727,28092,65.75
B41C,42617,25720,60.35
C14C,42256,27670,65.48
B21H,42126,29759,70.64
F28B,41418,30355,73.29
C08C,40383,27632,68.42
B61G,40123,29129,72.6
B42C,39816,27736,69.66
H05F,39747,27151,68.31
F28C,39069,28530,73.02
B27L,38829,27014,69.57
G04F,38617,24013,62.18
B60M,38582,25514,66.13
B41L,37998,26451,69.61
B62L,37907,27354,72.16
F03C,37806,23219,61.42
A41F,37657,25680,68.19
C25F,37559,23319,62.09
B44F,37067,23226,62.66
D03C,36940,26347,71.32
D21B,36761,23550,64.06
F23M,36665,24297,66.27
C12H,36516,21007,57.53
C14B,36282,26694,73.57
G16C,35934,11119,30.94
G21D,35892,19346,53.9
D21D,35464,23377,65.92
B63G,35194,22037,62.62
B61K,35044,25952,74.06
B61H,34969,25802,73.79
C13B,33058,20553,62.17
H04K,32783,22357,68.2
E05G,32527,22499,69.17
D21G,31153,20291,65.13
H03C,31058,21818,70.25
F41J,29160,19868,68.13
C09G,28573,15916,55.7
F41C,28533,20190,70.76
B68G,28509,17505,61.4
F16P,28487,19594,68.78
C10C,27817,19426,69.83
B43M,26867,17622,65.59
B63J,26433,14910,56.41
B27F,25920,18454,71.2
A46D,25778,16195,62.82
D03J,24835,17553,70.68
B41B,24798,16573,66.83
D04C,24602,16198,65.84
A41G,24581,14416,58.65
C05C,24489,15279,62.39
C05D,24388,13523,55.45
A22B,24164,16865,69.79
G10G,23435,15440,65.88
B31D,23114,14755,63.84
G10C,22206,13791,62.1
C05B,21929,14259,65.02
D01B,21602,15494,71.72
F16S,21409,15162,70.82
F23H,21400,14671,68.56
C13K,20911,13562,64.86
C07G,20630,13262,64.29
D21J,20458,12913,63.12
B64B,20208,12043,59.6
B42B,20155,14747,73.17
F23B,20114,13356,66.4
G21B,20053,8285,41.32
A63D,20039,13643,68.08
F22G,19496,13043,66.9
C08H,19377,10693,55.18
F16T,19241,13088,68.02
F15C,19178,13324,69.48
D02H,18886,14492,76.73
A63J,18323,12671,69.15
B60F,18225,11278,61.88
D06G,17837,13924,78.06
G06C,17553,10971,62.5
F15D,16809,10389,61.81
F41F,16695,11986,71.79
B60V,14983,9940,66.34
G16Z,14925,7838,52.52
G21G,14918,9168,61.46
G04R,14435,8472,58.69
D06Q,13931,8067,57.91
G04D,13431,9189,68.42
C23D,12809,8315,64.92
C12J,11827,5434,45.95
C06D,11819,7546,63.85
B27J,11757,7529,64.04
C06C,10820,7606,70.3
C12S,10420,6080,58.35
D04D,10185,5786,56.81
A42C,9940,6587,66.27
G10F,9577,5816,60.73
