ipc_subclass,total_patents,granted_patents,unique_families,earliest_year,latest_year,avg_citations,ipc_section,ipc_section_name,grant_rate,time_span
A01G,1150868,705728,681435,1877,9999,3.42,A,Human Necessities,61.32,8122
H01F,1142515,705794,457204,1889,9999,7.23,H,Electricity,61.78,8110
C11D,1139583,601540,126747,1859,9999,21.98,C,Chemistry; Metallurgy,52.79,8140
C09K,1123641,642008,381146,1879,9999,18.95,C,Chemistry; Metallurgy,57.14,8120
G01B,1114486,727681,632559,1877,9999,8.93,G,Physics,65.29,8122
B02C,1111920,847754,419263,1891,9999,2.68,B,Performing Operations; Transporting,76.24,8108
G03B,1108982,631797,530188,1883,9999,8.57,G,Physics,56.97,8116
B23Q,1108808,814710,639153,1884,9999,4.68,B,Performing Operations; Transporting,73.48,8115
A47J,1087454,753045,544764,1880,9999,6.17,A,Human Necessities,69.25,8119
E06B,1066949,764466,476993,1878,9999,4.53,E,Fixed Constructions,71.65,8121
F26B,1063213,811934,392489,1877,9999,2.64,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,76.37,8122
A47B,1050895,770551,497956,1863,9999,3.58,A,Human Necessities,73.32,8136
H01Q,1047226,647360,268338,1900,9999,16.18,H,Electricity,61.82,8099
A61Q,1047226,529495,266091,1898,9999,19.73,A,Human Necessities,50.56,8101
F04D,1026663,721794,372522,1889,9999,5.69,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,70.3,8110
G09G,1018070,578309,338599,1902,9999,19.49,G,Physics,56.8,8097
G11C,1009180,700597,245560,1907,9999,20.9,G,Physics,69.42,8092
C08J,1004559,562800,399621,1879,9999,14.92,C,Chemistry; Metallurgy,56.02,8120
C12Q,990090,455725,288263,1909,9999,26.39,C,Chemistry; Metallurgy,46.03,8090
G06V,985169,392438,315452,1921,9999,7.6,G,Physics,39.83,8078
C09J,967408,509378,223706,1879,9999,12.22,C,Chemistry; Metallurgy,52.65,8120
F16D,965474,626477,362721,1870,9999,8.54,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,64.89,8129
G09F,961443,572698,577123,1894,9999,8.95,G,Physics,59.57,8105
A63B,961162,621738,427446,1876,9999,11.24,A,Human Necessities,64.69,8123
B05B,954643,674416,368043,1883,9999,8.88,B,Performing Operations; Transporting,70.65,8116
A01K,951076,620541,560837,1894,9999,6.39,A,Human Necessities,65.25,8105
C01B,919655,553136,387523,1855,9999,13.06,C,Chemistry; Metallurgy,60.15,8144
F02M,916755,549104,324308,1884,9999,9.16,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,59.9,8115
A63F,900783,512644,444024,1877,9999,13.9,A,Human Necessities,56.91,8122
F16C,890568,551034,352664,1878,9999,7.59,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,61.87,8121
H02M,879236,537603,376484,1898,9999,9.51,H,Electricity,61.14,8101
B60K,874313,527702,413536,1880,9999,11.88,B,Performing Operations; Transporting,60.36,8119
F16B,864195,568005,408150,1856,9999,8.42,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,65.73,8143
G03F,862193,493037,247782,1855,9999,16.12,G,Physics,57.18,8144
F04B,858091,564521,321729,1892,9999,8.48,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,65.79,8107
F02D,854956,515408,250419,1897,9999,12.12,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,60.28,8102
D06M,851092,456264,135265,1882,9999,13.33,D,Textiles; Paper,53.61,8117
G08B,849889,509739,452377,1892,9999,13.09,G,Physics,59.98,8107
G05B,839078,482622,501201,1819,9999,14.24,G,Physics,57.52,8180
F16F,816044,553225,425318,1893,9999,7.07,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,67.79,8106
E02D,812060,548296,471135,1894,9999,3.15,E,Fixed Constructions,67.52,8105
B26D,811816,625319,318476,1894,9999,3.36,B,Performing Operations; Transporting,77.03,8105
E05B,810477,574758,320591,1877,9999,6.58,E,Fixed Constructions,70.92,8122
C12P,797076,444250,212585,1890,9999,31.05,C,Chemistry; Metallurgy,55.73,8109
B60W,776540,424796,184365,1903,9999,15.6,B,Performing Operations; Transporting,54.7,8096
H03K,764495,492473,306218,1898,9999,10.42,H,Electricity,64.42,8101
A47C,762512,528993,347435,1872,9999,8.76,A,Human Necessities,69.38,8127
A47L,760748,484847,339379,1878,9999,9.51,A,Human Necessities,63.73,8121
F16M,753780,612644,355688,1883,9999,2.67,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,81.28,8116
H04R,752419,469470,336274,1876,9999,12.33,H,Electricity,62.39,8123
E04G,751480,542687,442196,1902,9999,2.64,E,Fixed Constructions,72.22,8097
G10L,732199,408518,181627,1906,9999,24.98,G,Physics,55.79,8093
H02G,712511,497337,442462,1894,9999,4.75,H,Electricity,69.8,8105
E04H,712179,495014,454668,1885,9999,3.67,E,Fixed Constructions,69.51,8114
B25J,711567,431649,314133,1902,9999,11.84,B,Performing Operations; Transporting,60.66,8097
B22D,704042,457620,295287,1878,9999,5.73,B,Performing Operations; Transporting,65.0,8121
