ipc_subclass,total_patents,granted_patents,unique_families,earliest_year,latest_year,avg_citations,ipc_section,ipc_section_name,grant_rate,time_span
E03D,196836,128212,104279,1862,9999,3.84,E,Fixed Constructions,65.14,8137
B28D,196632,142617,91401,1877,9999,4.65,B,Performing Operations; Transporting,72.53,8122
B28C,195026,149717,94588,1895,9999,2.67,B,Performing Operations; Transporting,76.77,8104
G10K,192881,112417,110314,1899,9999,14.53,G,Physics,58.28,8100
B43K,192735,121185,95580,1894,9999,4.41,B,Performing Operations; Transporting,62.88,8105
F01P,191776,117205,89069,1899,9999,7.39,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,61.12,8100
B82Y,191608,108656,104117,1973,9999,10.3,B,Performing Operations; Transporting,56.71,8026
D01D,191382,120634,80456,1877,9999,9.84,D,Textiles; Paper,63.03,8122
A21D,188234,88057,62272,1901,9999,8.47,A,Human Necessities,46.78,8098
F02F,188204,116145,91032,1901,9999,7.08,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,61.71,8098
D01H,186780,127093,86193,1894,9999,4.58,D,Textiles; Paper,68.04,8105
F42B,185678,129228,80244,1873,9999,9.64,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,69.6,8126
G05F,185623,123420,105511,1902,9999,11.85,G,Physics,66.49,8097
C05G,184369,52980,102810,1899,9999,5.41,C,Chemistry; Metallurgy,28.74,8100
F22B,183853,124721,100876,1877,9999,4.98,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,67.84,8122
G07D,183702,110579,79295,1899,9999,14.19,G,Physics,60.19,8100
C09C,183416,109739,44291,1877,9999,18.71,C,Chemistry; Metallurgy,59.83,8122
H10N,182527,101427,50737,1879,9999,12.24,H,Electricity,55.57,8120
A44B,181630,123674,83688,1871,9999,9.52,A,Human Necessities,68.09,8128
C08B,181535,110435,69363,1882,9999,17.68,C,Chemistry; Metallurgy,60.83,8117
E01B,178733,128659,87606,1897,9999,5.37,E,Fixed Constructions,71.98,8102
B62M,173903,114739,88242,1893,9999,9.5,B,Performing Operations; Transporting,65.98,8106
E03B,172043,125100,112400,1902,9999,2.42,E,Fixed Constructions,72.71,8097
F03B,171758,92725,85923,1894,9999,6.57,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,53.99,8105
E05C,170982,120914,102093,1884,9999,5.71,E,Fixed Constructions,70.72,8115
C23F,170436,103891,82285,1899,9999,13.93,C,Chemistry; Metallurgy,60.96,8100
B24D,169345,107324,64200,1887,9999,17.56,B,Performing Operations; Transporting,63.38,8112
C10B,168997,109613,77556,1870,9999,6.87,C,Chemistry; Metallurgy,64.86,8129
G01T,167232,99349,68262,1902,9999,11.26,G,Physics,59.41,8097
B44C,166454,99959,98011,1899,9999,9.41,B,Performing Operations; Transporting,60.05,8100
D02G,166410,98131,71866,1901,9999,8.23,D,Textiles; Paper,58.97,8098
A23F,164522,81372,102664,1868,9999,6.54,A,Human Necessities,49.46,8131
C05F,163093,85080,83204,1877,9999,5.52,C,Chemistry; Metallurgy,52.17,8122
H03L,162455,109527,56034,1903,9999,15.16,H,Electricity,67.42,8096
D21F,161563,105049,48418,1881,9999,14.36,D,Textiles; Paper,65.02,8118
B66D,160997,115579,82665,1883,9999,3.34,B,Performing Operations; Transporting,71.79,8116
A23N,160364,119084,127576,1899,9999,2.42,A,Human Necessities,74.26,8100
F02P,159415,94987,64772,1901,9999,8.34,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,59.58,8098
F41A,159013,112877,54740,1874,9999,8.99,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,70.99,8125
B43L,156119,105054,112806,1887,9999,1.96,B,Performing Operations; Transporting,67.29,8112
F16N,154172,112758,91306,1889,9999,3.63,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,73.14,8110
E21F,154038,111604,108759,1902,9999,2.32,E,Fixed Constructions,72.45,8097
F23J,152083,103591,95932,1877,9999,3.85,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,68.11,8122
C11B,151719,88573,72698,1855,9999,9.62,C,Chemistry; Metallurgy,58.38,8144
A63C,150877,98545,56827,1877,9999,9.3,A,Human Necessities,65.31,8122
F01M,148716,93119,74457,1883,9999,7.18,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,62.62,8116
B21F,148657,113052,94179,1895,9999,3.42,B,Performing Operations; Transporting,76.05,8104
B61D,148083,106839,86909,1895,9999,5.38,B,Performing Operations; Transporting,72.15,8104
C21B,147969,98965,73045,1868,9999,5.91,C,Chemistry; Metallurgy,66.88,8131
B04B,146527,103005,54502,1889,9999,8.48,B,Performing Operations; Transporting,70.3,8110
C01F,144049,89867,63628,1884,9999,10.17,C,Chemistry; Metallurgy,62.39,8115
B26F,143923,101791,95448,1877,9999,6.49,B,Performing Operations; Transporting,70.73,8122
B61L,143409,93133,77929,1884,9999,6.41,B,Performing Operations; Transporting,64.94,8115
B23C,143312,101854,76909,1893,9999,7.72,B,Performing Operations; Transporting,71.07,8106
C22F,143224,82811,64649,1902,9999,9.85,C,Chemistry; Metallurgy,57.82,8097
A44C,138306,87571,80409,1879,9999,4.3,A,Human Necessities,63.32,8120
F01K,137604,79400,55727,1882,9999,9.86,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,57.7,8117
G16B,136427,49523,29771,1985,2024,25.5,G,Physics,36.3,39
A42B,136398,88730,65612,1878,9999,8.22,A,Human Necessities,65.05,8121
B65C,135543,96472,49596,1896,9999,7.27,B,Performing Operations; Transporting,71.17,8103
G10H,134246,86226,57388,1903,9999,10.89,G,Physics,64.23,8096
G21F,131028,79419,50035,1903,9999,7.29,G,Physics,60.61,8096
H05H,130846,78732,60465,1904,9999,17.42,H,Electricity,60.17,8095
F23N,127687,72658,67622,1880,9999,5.7,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,56.9,8119
G05G,127019,75314,58810,1900,9999,8.75,G,Physics,59.29,8099
A22C,126990,91267,65850,1901,9999,6.48,A,Human Necessities,71.87,8098
H03G,126685,79494,53494,1819,9999,14.24,H,Electricity,62.75,8180
G04G,126390,64052,55540,1905,9999,11.25,G,Physics,50.68,8094
F16G,122835,80928,58478,1882,9999,8.4,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,65.88,8117
B42F,121843,76282,78784,1879,9999,3.31,B,Performing Operations; Transporting,62.61,8120
E01H,121664,86697,88363,1887,9999,4.06,E,Fixed Constructions,71.26,8112
A45B,121617,84288,62582,1878,9999,2.82,A,Human Necessities,69.31,8121
E06C,120964,89825,50247,1883,9999,3.29,E,Fixed Constructions,74.26,8116
B24C,118923,81525,50074,1902,9999,5.4,B,Performing Operations; Transporting,68.55,8097
D21C,118050,71813,32771,1881,9999,13.29,D,Textiles; Paper,60.83,8118
B67C,117964,89840,54652,1898,9999,4.62,B,Performing Operations; Transporting,76.16,8101
F17D,116194,82455,67754,1902,9999,4.44,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,70.96,8097
F24J,116151,71181,71684,1881,9999,8.39,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,61.28,8118
E21C,116080,86284,64457,1901,9999,6.1,E,Fixed Constructions,74.33,8098
A21C,116054,85146,62433,1898,9999,5.43,A,Human Necessities,73.37,8101
H02N,115842,63345,75249,1899,9999,10.12,H,Electricity,54.68,8100
H10B,114971,66201,35247,1953,9999,15.43,H,Electricity,57.58,8046
B27B,114038,79981,55520,1877,9999,6.25,B,Performing Operations; Transporting,70.14,8122
C25C,112720,76212,46068,1894,9999,6.82,C,Chemistry; Metallurgy,67.61,8105
C10J,111762,73556,43686,1885,9999,9.79,C,Chemistry; Metallurgy,65.81,8114
A24B,111752,68519,46065,1900,9999,14.67,A,Human Necessities,61.31,8099
H01T,110804,71802,53355,1888,9999,6.61,H,Electricity,64.8,8111
F23C,109226,72190,49792,1880,9999,10.74,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,66.09,8119
F21K,106857,78806,61552,1898,9999,11.48,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,73.75,8101
B23H,106090,71920,46008,1875,9999,5.8,B,Performing Operations; Transporting,67.79,8124
B63C,104885,67055,65550,1899,9999,5.46,B,Performing Operations; Transporting,63.93,8100
A41B,104406,64657,62464,1890,9999,7.48,A,Human Necessities,61.93,8109
A23P,101635,59954,61034,1902,9999,7.45,A,Human Necessities,58.99,8097
A24D,101112,56006,26268,1895,9999,23.92,A,Human Necessities,55.39,8104
F02K,101033,71427,38305,1881,9999,12.8,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,70.7,8118
F02N,100844,64804,50621,1902,9999,9.11,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,64.26,8097
D06N,99807,57369,41695,1891,9999,10.79,D,Textiles; Paper,57.48,8108
C12G,98644,45846,68169,1889,9999,3.74,C,Chemistry; Metallurgy,46.48,8110
H03B,98641,61613,50153,1881,9999,10.17,H,Electricity,62.46,8118
D06C,98085,65430,65618,1877,9999,4.42,D,Textiles; Paper,66.71,8122
F23Q,97434,60164,57115,1870,9999,3.91,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,61.75,8129
A23J,96965,51432,27486,1895,9999,13.16,A,Human Necessities,53.04,8104
G01H,94676,55860,64759,1909,9999,8.75,G,Physics,59.0,8090
H03J,93792,54980,44165,1901,9999,13.08,H,Electricity,58.62,8098
D01G,91973,67308,43064,1877,9999,5.18,D,Textiles; Paper,73.18,8122
G07G,90862,47832,50394,1900,9999,18.39,G,Physics,52.64,8099
B03B,90660,61195,47342,1877,9999,6.34,B,Performing Operations; Transporting,67.5,8122
G04C,89489,48303,49873,1889,9999,5.05,G,Physics,53.98,8110
G07B,88612,46043,55371,1877,9999,13.77,G,Physics,51.96,8122
A43D,88473,65863,54243,1891,9999,4.91,A,Human Necessities,74.44,8108
C23G,87032,51253,47062,1902,9999,8.55,C,Chemistry; Metallurgy,58.89,8097
A45F,86641,58348,59332,1894,9999,7.31,A,Human Necessities,67.34,8105
B61F,85901,62547,40453,1877,9999,6.18,B,Performing Operations; Transporting,72.81,8122
F01C,85899,52890,33848,1878,9999,8.59,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,61.57,8121
C40B,84604,38501,21471,1946,9999,78.85,C,Chemistry; Metallurgy,45.51,8053
A23D,84115,46553,25697,1877,9999,16.46,A,Human Necessities,55.34,8122
F23L,83273,52048,54978,1881,9999,5.1,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,62.5,8118
B64G,82567,52274,37526,1936,9999,10.33,B,Performing Operations; Transporting,63.31,8063
F23R,82096,54569,22461,1902,9999,18.82,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,66.47,8097
B61B,81733,51633,46352,1877,9999,6.21,B,Performing Operations; Transporting,63.17,8122
B27N,80700,47499,31393,1904,9999,9.21,B,Performing Operations; Transporting,58.86,8095
A47D,80363,57850,47154,1881,9999,6.71,A,Human Necessities,71.99,8118
B67B,79600,57616,52470,1890,9999,5.77,B,Performing Operations; Transporting,72.38,8109
A62D,79204,45226,22250,1901,9999,13.82,A,Human Necessities,57.1,8098
B27K,78995,40522,31213,1898,9999,6.38,B,Performing Operations; Transporting,51.3,8101
B64F,78118,51902,50279,1901,9999,9.38,B,Performing Operations; Transporting,66.44,8098
G10D,77125,53393,42883,1877,9999,3.89,G,Physics,69.23,8122
B25D,76797,52388,34109,1900,9999,9.2,B,Performing Operations; Transporting,68.22,8099
B04C,76097,52487,26772,1870,9999,13.28,B,Performing Operations; Transporting,68.97,8129
B21K,75442,51444,45205,1886,9999,6.3,B,Performing Operations; Transporting,68.19,8113
G21K,74267,43986,34539,1901,9999,17.93,G,Physics,59.23,8098
F03G,73945,34317,48474,1877,9999,7.15,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,46.41,8122
F25C,73192,44656,37135,1880,9999,7.64,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,61.01,8119
F41G,71617,49677,32890,1889,9999,11.35,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,69.36,8110
B81B,70306,38768,34050,1960,2024,23.05,B,Performing Operations; Transporting,55.14,64
B25C,70287,47660,29075,1902,9999,15.29,B,Performing Operations; Transporting,67.81,8097
F25J,70112,44171,23475,1896,9999,16.58,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,63.0,8103
A47H,69948,48333,43627,1889,9999,3.7,A,Human Necessities,69.1,8110
B06B,68646,43108,38066,1904,9999,14.51,B,Performing Operations; Transporting,62.8,8095
C06B,68562,47254,25022,1889,9999,8.7,C,Chemistry; Metallurgy,68.92,8110
H03D,67967,45856,30283,1899,9999,13.12,H,Electricity,67.47,8100
B09C,67898,39726,39333,1954,9999,8.55,B,Performing Operations; Transporting,58.51,8045
G06G,67558,49496,42623,1891,9999,15.16,G,Physics,73.26,8108
F41H,66586,42416,33751,1878,9999,10.26,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,63.7,8121
B03D,66125,42340,24938,1892,9999,7.25,B,Performing Operations; Transporting,64.03,8107
F24B,66105,48687,39921,1877,9999,2.6,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,73.65,8122
B27C,66090,49582,44231,1894,9999,5.56,B,Performing Operations; Transporting,75.02,8105
B25F,64926,40481,36087,1898,9999,14.87,B,Performing Operations; Transporting,62.35,8101
B60D,64711,44880,32012,1901,9999,7.0,B,Performing Operations; Transporting,69.35,8098
A61D,64336,46402,43237,1883,9999,8.95,A,Human Necessities,72.12,8116
B41K,64284,43271,32395,1902,9999,3.23,B,Performing Operations; Transporting,67.31,8097
A21B,64159,46296,34193,1901,9999,6.55,A,Human Necessities,72.16,8098
F23K,63757,40034,42816,1896,9999,4.16,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,62.79,8103
H04S,63582,36868,22823,1921,9999,21.89,H,Electricity,57.98,8078
B23F,63542,46249,31580,1875,9999,5.01,B,Performing Operations; Transporting,72.78,8124
G03H,63090,35004,23115,1947,9999,17.14,G,Physics,55.48,8052
G03D,62393,36500,32538,1897,9999,4.88,G,Physics,58.5,8102
A24C,61885,41321,24655,1880,9999,10.57,A,Human Necessities,66.77,8119
D06L,61470,34867,15846,1882,9999,20.19,D,Textiles; Paper,56.72,8117
F21L,61356,44022,48639,1878,9999,5.93,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,71.75,8121
D07B,61306,40808,27793,1891,9999,8.18,D,Textiles; Paper,66.56,8108
H01K,59948,35353,26991,1879,9999,6.13,H,Electricity,58.97,8120
C01D,59852,36404,32278,1866,9999,6.61,C,Chemistry; Metallurgy,60.82,8133
D06H,59075,44454,46410,1902,9999,4.24,D,Textiles; Paper,75.25,8097
A41C,57499,40436,30639,1876,9999,5.75,A,Human Necessities,70.32,8123
F01B,57386,36229,28093,1877,9999,8.14,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,63.13,8122
G01Q,56842,33692,13650,1904,9999,20.65,G,Physics,59.27,8095
B41N,56257,31945,24961,1877,9999,10.29,B,Performing Operations; Transporting,56.78,8122
A01J,55834,38837,24582,1859,9999,9.45,A,Human Necessities,69.56,8140
B23G,55789,42243,35235,1874,9999,2.81,B,Performing Operations; Transporting,75.72,8125
A63G,55701,37942,32231,1881,9999,5.99,A,Human Necessities,68.12,8118
B27G,55522,40336,42284,1877,9999,4.8,B,Performing Operations; Transporting,72.65,8122
G06M,54670,35695,31726,1877,9999,8.21,G,Physics,65.29,8122
B27D,53931,33745,37550,1902,9999,3.21,B,Performing Operations; Transporting,62.57,8097
F42C,53677,38774,19772,1886,9999,6.65,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,72.24,8113
F04F,52878,35056,29372,1877,9999,7.09,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,66.3,8122
B27M,52454,31898,35469,1901,9999,9.34,B,Performing Operations; Transporting,60.81,8098
B62H,51502,34793,36648,1894,9999,4.03,B,Performing Operations; Transporting,67.56,8105
B02B,51090,32673,29008,1877,9999,2.64,B,Performing Operations; Transporting,63.95,8122
A43C,49788,33414,25324,1878,9999,15.65,A,Human Necessities,67.11,8121
H05G,49127,31735,21389,1902,9999,14.15,H,Electricity,64.6,8097
F28G,49104,34558,27353,1893,9999,4.14,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,70.38,8106
A41H,48407,32692,32559,1885,9999,5.19,A,Human Necessities,67.54,8114
F41B,48326,34416,28023,1889,9999,8.1,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,71.22,8110
C12C,48299,28167,17721,1887,9999,8.71,C,Chemistry; Metallurgy,58.32,8112
B25G,48299,32526,27117,1889,9999,8.18,B,Performing Operations; Transporting,67.34,8110
B44B,48252,36912,24991,1894,9999,3.76,B,Performing Operations; Transporting,76.5,8105
C11C,47648,29081,19819,1857,9999,14.89,C,Chemistry; Metallurgy,61.03,8142
G16Y,47630,18905,19865,2006,2024,2.66,G,Physics,39.69,18
B31F,46982,31810,24890,1902,9999,11.92,B,Performing Operations; Transporting,67.71,8097
B81C,46959,26495,26149,1952,2024,21.78,B,Performing Operations; Transporting,56.42,72
F02G,46615,26537,23166,1894,9999,11.87,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,56.93,8105
F42D,46535,31100,23001,1895,9999,6.52,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,66.83,8104
C10K,46369,30192,20700,1886,9999,8.06,C,Chemistry; Metallurgy,65.11,8113
B64U,46100,27539,16892,2002,2024,2.04,B,Performing Operations; Transporting,59.74,22
C01C,44853,28739,24455,1894,9999,7.16,C,Chemistry; Metallurgy,64.07,8105
B44D,44791,31920,31865,1894,9999,5.45,B,Performing Operations; Transporting,71.26,8105
G01W,44741,27305,33062,1903,9999,7.26,G,Physics,61.03,8096
D05C,44732,30754,24875,1885,9999,5.33,D,Textiles; Paper,68.75,8114
B61C,44480,30845,29084,1877,9999,5.25,B,Performing Operations; Transporting,69.35,8122
G12B,44094,25638,33388,1918,9999,5.69,G,Physics,58.14,8081
B82B,43764,26117,26663,1975,2024,24.18,B,Performing Operations; Transporting,59.68,49
G09C,42990,24319,21043,1902,9999,54.16,G,Physics,56.57,8097
D02J,42920,26338,23116,1900,9999,6.8,D,Textiles; Paper,61.37,8099
F22D,42727,28092,31533,1890,9999,2.39,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,65.75,8109
B41C,42617,25720,20875,1882,9999,12.37,B,Performing Operations; Transporting,60.35,8117
C14C,42256,27670,18989,1879,9999,6.58,C,Chemistry; Metallurgy,65.48,8120
B21H,42126,29759,24772,1884,9999,5.03,B,Performing Operations; Transporting,70.64,8115
F28B,41418,30355,24050,1885,9999,3.31,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,73.29,8114
C08C,40383,27632,13421,1905,9999,13.51,C,Chemistry; Metallurgy,68.42,8094
B61G,40123,29129,20540,1892,9999,4.45,B,Performing Operations; Transporting,72.6,8107
B42C,39816,27736,19084,1902,9999,33.97,B,Performing Operations; Transporting,69.66,8097
H05F,39747,27151,30350,1902,9999,5.68,H,Electricity,68.31,8097
F28C,39069,28530,28190,1902,9999,4.87,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,73.02,8097
B27L,38829,27014,25745,1882,9999,3.76,B,Performing Operations; Transporting,69.57,8117
G04F,38617,24013,23781,1888,9999,8.21,G,Physics,62.18,8111
B60M,38582,25514,25122,1889,9999,6.1,B,Performing Operations; Transporting,66.13,8110
B41L,37998,26451,21534,1899,9999,16.09,B,Performing Operations; Transporting,69.61,8100
B62L,37907,27354,23603,1889,9999,5.28,B,Performing Operations; Transporting,72.16,8110
F03C,37806,23219,13754,1881,9999,7.09,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,61.42,8118
A41F,37657,25680,28893,1890,9999,4.84,A,Human Necessities,68.19,8109
C25F,37559,23319,17948,1904,9999,9.01,C,Chemistry; Metallurgy,62.09,8095
B44F,37067,23226,19168,1899,9999,18.26,B,Performing Operations; Transporting,62.66,8100
D03C,36940,26347,15677,1896,9999,4.66,D,Textiles; Paper,71.32,8103
D21B,36761,23550,15807,1902,9999,8.88,D,Textiles; Paper,64.06,8097
F23M,36665,24297,23600,1856,9999,6.03,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,66.27,8143
C12H,36516,21007,20955,1889,9999,6.67,C,Chemistry; Metallurgy,57.53,8110
C14B,36282,26694,20691,1884,9999,2.43,C,Chemistry; Metallurgy,73.57,8115
G16C,35934,11119,18865,1995,2024,2.91,G,Physics,30.94,29
G21D,35892,19346,19104,1918,9999,6.19,G,Physics,53.9,8081
D21D,35464,23377,15507,1899,9999,8.36,D,Textiles; Paper,65.92,8100
B63G,35194,22037,19537,1892,9999,6.4,B,Performing Operations; Transporting,62.62,8107
B61K,35044,25952,25799,1891,9999,4.55,B,Performing Operations; Transporting,74.06,8108
B61H,34969,25802,20994,1894,9999,4.37,B,Performing Operations; Transporting,73.79,8105
C13B,33058,20553,15165,1845,9999,7.74,C,Chemistry; Metallurgy,62.17,8154
H04K,32783,22357,21075,1903,9999,38.59,H,Electricity,68.2,8096
E05G,32527,22499,18356,1894,9999,5.2,E,Fixed Constructions,69.17,8105
D21G,31153,20291,12163,1899,9999,9.31,D,Textiles; Paper,65.13,8100
H03C,31058,21818,14754,1881,9999,12.13,H,Electricity,70.25,8118
F41J,29160,19868,16107,1890,9999,5.78,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,68.13,8109
C09G,28573,15916,12432,1902,9999,15.4,C,Chemistry; Metallurgy,55.7,8097
F41C,28533,20190,15515,1878,9999,11.26,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,70.76,8121
B68G,28509,17505,16366,1901,9999,9.33,B,Performing Operations; Transporting,61.4,8098
F16P,28487,19594,18313,1900,9999,7.56,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,68.78,8099
C10C,27817,19426,14934,1866,9999,10.2,C,Chemistry; Metallurgy,69.83,8133
B43M,26867,17622,20791,1899,9999,4.23,B,Performing Operations; Transporting,65.59,8100
B63J,26433,14910,17340,1903,9999,5.19,B,Performing Operations; Transporting,56.41,8096
B27F,25920,18454,16430,1877,9999,19.21,B,Performing Operations; Transporting,71.2,8122
A46D,25778,16195,12259,1895,9999,12.18,A,Human Necessities,62.82,8104
D03J,24835,17553,17751,1898,9999,2.79,D,Textiles; Paper,70.68,8101
B41B,24798,16573,15710,1854,9999,3.55,B,Performing Operations; Transporting,66.83,8145
D04C,24602,16198,14105,1899,9999,9.64,D,Textiles; Paper,65.84,8100
A41G,24581,14416,17198,1901,9999,5.46,A,Human Necessities,58.65,8098
C05C,24489,15279,10706,1894,9999,9.18,C,Chemistry; Metallurgy,62.39,8105
C05D,24388,13523,12308,1899,9999,7.74,C,Chemistry; Metallurgy,55.45,8100
A22B,24164,16865,12925,1899,9999,5.63,A,Human Necessities,69.79,8100
G10G,23435,15440,18399,1892,9999,5.13,G,Physics,65.88,8107
B31D,23114,14755,12628,1902,9999,13.5,B,Performing Operations; Transporting,63.84,8097
G10C,22206,13791,14314,1897,9999,2.58,G,Physics,62.1,8102
C05B,21929,14259,12354,1894,9999,6.15,C,Chemistry; Metallurgy,65.02,8105
D01B,21602,15494,16047,1900,9999,2.71,D,Textiles; Paper,71.72,8099
F16S,21409,15162,17258,1931,9999,4.72,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,70.82,8068
F23H,21400,14671,12367,1878,9999,3.99,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,68.56,8121
C13K,20911,13562,7886,1883,9999,15.52,C,Chemistry; Metallurgy,64.86,8116
C07G,20630,13262,8012,1903,9999,15.83,C,Chemistry; Metallurgy,64.29,8096
D21J,20458,12913,12133,1898,9999,6.7,D,Textiles; Paper,63.12,8101
B64B,20208,12043,10536,1879,9999,11.16,B,Performing Operations; Transporting,59.6,8120
B42B,20155,14747,13668,1883,9999,4.64,B,Performing Operations; Transporting,73.17,8116
F23B,20114,13356,14158,1903,9999,3.33,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,66.4,8096
G21B,20053,8285,7898,1934,9999,6.41,G,Physics,41.32,8065
A63D,20039,13643,13955,1877,9999,4.29,A,Human Necessities,68.08,8122
F22G,19496,13043,13723,1893,9999,3.41,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,66.9,8106
C08H,19377,10693,8895,1900,9999,25.09,C,Chemistry; Metallurgy,55.18,8099
F16T,19241,13088,11571,1894,9999,3.42,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,68.02,8105
F15C,19178,13324,8710,1916,9999,20.07,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,69.48,8083
D02H,18886,14492,10677,1902,9999,3.08,D,Textiles; Paper,76.73,8097
A63J,18323,12671,12826,1895,9999,7.16,A,Human Necessities,69.15,8104
B60F,18225,11278,13747,1902,9999,6.05,B,Performing Operations; Transporting,61.88,8097
D06G,17837,13924,17060,1903,9999,1.3,D,Textiles; Paper,78.06,8096
G06C,17553,10971,13160,1891,9999,4.48,G,Physics,62.5,8108
F15D,16809,10389,9159,1905,9999,12.45,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,61.81,8094
F41F,16695,11986,9669,1873,9999,6.3,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,71.79,8126
B60V,14983,9940,5979,1907,9999,6.91,B,Performing Operations; Transporting,66.34,8092
G16Z,14925,7838,5349,1986,2024,71.06,G,Physics,52.52,38
G21G,14918,9168,6078,1904,9999,13.14,G,Physics,61.46,8095
G04R,14435,8472,7321,1910,9999,8.05,G,Physics,58.69,8089
D06Q,13931,8067,8359,1883,9999,9.32,D,Textiles; Paper,57.91,8116
G04D,13431,9189,8663,1888,9999,3.6,G,Physics,68.42,8111
C23D,12809,8315,6427,1877,9999,5.67,C,Chemistry; Metallurgy,64.92,8122
C12J,11827,5434,9387,1902,9999,2.72,C,Chemistry; Metallurgy,45.95,8097
C06D,11819,7546,5141,1902,9999,15.45,C,Chemistry; Metallurgy,63.85,8097
B27J,11757,7529,10759,1884,9999,2.02,B,Performing Operations; Transporting,64.04,8115
C06C,10820,7606,4832,1902,9999,11.33,C,Chemistry; Metallurgy,70.3,8097
C12S,10420,6080,3370,1960,2016,38.34,C,Chemistry; Metallurgy,58.35,56
D04D,10185,5786,6788,1899,9999,3.98,D,Textiles; Paper,56.81,8100
A42C,9940,6587,7603,1877,9999,6.64,A,Human Necessities,66.27,8122
G10F,9577,5816,7401,1894,9999,2.55,G,Physics,60.73,8105
C09F,9552,6737,6062,1895,9999,6.03,C,Chemistry; Metallurgy,70.53,8104
B21L,9326,6664,5892,1895,9999,4.26,B,Performing Operations; Transporting,71.46,8104
B21G,9236,6597,5061,1901,9999,5.64,B,Performing Operations; Transporting,71.43,8098
B31C,8968,6216,4740,1902,9999,7.25,B,Performing Operations; Transporting,69.31,8097
B61J,7930,5312,5688,1902,9999,3.24,B,Performing Operations; Transporting,66.99,8097
D01C,7927,4957,5582,1877,9999,4.29,D,Textiles; Paper,62.53,8122
F24V,7867,4161,4076,1882,9999,21.51,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,52.89,8117
G06E,7416,4830,4131,1933,9999,20.01,G,Physics,65.13,8066
A01L,7414,4478,4207,1877,9999,4.84,A,Human Necessities,60.4,8122
G09D,7319,3880,6023,1896,9999,2.17,G,Physics,53.01,8103
F24T,7318,4356,5209,1980,2024,2.29,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,59.52,44
G10B,6399,3808,5242,1901,9999,2.26,G,Physics,59.51,8098
G21H,6256,3737,3152,1904,9999,9.68,G,Physics,59.73,8095
